Language,Category,Slug,Title,Description,Main Keyword,Has Content,Content Path,Competitor URL 1,Competitor URL 2,Competitor URL 3,Competitor URL 4,Competitor URL 5,Competitor URL 6,Competitor URL 7,Competitor URL 8,Competitor URL 9,Competitor URL 10,Authority Source 1,Authority Source 2,Notes
it,fisco-e-lavoro-autonomo,tasse-regime-forfettario,Calcolo Tasse Regime Forfettario 2025,"Calcola tasse, contributi INPS, acconti e saldo per il regime forfettario. Simulatore completo con aliquote 5% e 15%.",regime forfettario,YES,content/it/fisco-e-lavoro-autonomo/tasse-regime-forfettario.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-psicologi,Calcolo Tasse Psicologi con Partita IVA,Calcola tasse e contributi Enpap per psicologi e psicoterapeuti con partita IVA in regime forfettario o ordinario.,psicologo,YES,content/it/fisco-e-lavoro-autonomo/tassazione-psicologi.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-giornalisti,Calcolo Tasse Giornalisti e Contributi INPGI,"Calcola tasse e contributi previdenziali INPGI per giornalisti freelance, pubblicisti e praticanti.",giornalista,YES,content/it/fisco-e-lavoro-autonomo/tassazione-giornalisti.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-periti-industriali-eppi,Calcolo Tasse Periti Industriali e Contributi EPPI,"Simulatore tasse per periti industriali iscritti EPPI: calcola IRPEF, addizionali e contributi previdenziali.",perito industriale,YES,content/it/fisco-e-lavoro-autonomo/tassazione-periti-industriali-eppi.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-istruttori-palestra-partita-iva,Calcolo Tasse Istruttori Palestra con Partita IVA,Calcola tasse e contributi per personal trainer e istruttori fitness con partita IVA.,personal trainer,YES,content/it/fisco-e-lavoro-autonomo/tassazione-istruttori-palestra-partita-iva.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-copywriter-freelance,Calcolo Tasse Copywriter e Web Writer Freelance,"Calcola tasse per copywriter, content writer e web writer freelance. Regime forfettario vs ordinario.",copywriter,YES,content/it/fisco-e-lavoro-autonomo/tassazione-copywriter-freelance.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-graphic-designer-freelance,Calcolo Tasse Graphic Designer Freelance,"Simulatore tasse per graphic designer, illustratori e designer freelance con partita IVA.",graphic designer,YES,content/it/fisco-e-lavoro-autonomo/tassazione-graphic-designer-freelance.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,calcolatore-agenti-commercio,Calcolo Tasse e Contributi Enasarco Agenti di Commercio,"Calcola tasse, contributi Enasarco e FIRR per agenti e rappresentanti di commercio.",agente di commercio,YES,content/it/fisco-e-lavoro-autonomo/calcolatore-agenti-commercio.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,contributi-previdenziali-artigiani-commercianti,Calcolo Contributi INPS Artigiani e Commercianti 2025,Calcola contributi fissi e variabili INPS per artigiani e commercianti. Minimale e massimale 2025.,contributi INPS,YES,content/it/fisco-e-lavoro-autonomo/contributi-previdenziali-artigiani-commercianti.md,,,,,,,,,,,,,
it,fisco-e-lavoro-autonomo,tassazione-affitti-brevi,Calcolo Tasse Affitti Brevi e Cedolare Secca 21%,"Calcola tasse per affitti brevi turistici: cedolare secca 21% o 26%, confronto con tassazione ordinaria.",affitti brevi,YES,content/it/fisco-e-lavoro-autonomo/tassazione-affitti-brevi.md,,,,,,,,,,,,,
